timestep,mean_fractional_change,median_fractional_change,p25_fractional_change,p75_fractional_change,iqr_fractional_change,n_files
9100,-0.23017882537599357,-0.2272727272727273,-0.29166666666666663,-0.16000000000000003,0.1316666666666666,250
9150,-0.23076030685747503,-0.2272727272727273,-0.29513888888888884,-0.16000000000000003,0.1351388888888888,250
9200,-0.23302226957586888,-0.23076923076923073,-0.30227272727272725,-0.1626344086021505,0.13963831867057674,250
9250,-0.23374243374124176,-0.23076923076923073,-0.303030303030303,-0.1626344086021505,0.14039589442815248,250
9300,-0.23465230683111485,-0.23076923076923073,-0.303030303030303,-0.1626344086021505,0.14039589442815248,250
9350,-0.2352856401644482,-0.23076923076923073,-0.303030303030303,-0.16666666666666663,0.13636363636363635,250
9400,-0.23616479721123496,-0.23076923076923073,-0.303030303030303,-0.16666666666666663,0.13636363636363635,250
9450,-0.23695320739619688,-0.232051282051282,-0.303030303030303,-0.16810344827586204,0.13492685475444094,250
9500,-0.23779246506103852,-0.23333333333333328,-0.303030303030303,-0.1724137931034483,0.1306165099268547,250
9550,-0.23861193892051238,-0.23333333333333328,-0.303030303030303,-0.1724137931034483,0.1306165099268547,250
9600,-0.26350525104731864,-0.2592592592592593,-0.33333333333333337,-0.1942307692307692,0.13910256410256416,250
9650,-0.26410209512527966,-0.2592592592592593,-0.33333333333333337,-0.1942307692307692,0.13910256410256416,250
9700,-0.2647364540996386,-0.2592592592592593,-0.33333333333333337,-0.1942307692307692,0.13910256410256416,250
9750,-0.26534621758299953,-0.2592592592592593,-0.33333333333333337,-0.19999999999999996,0.13333333333333341,250
9800,-0.2668699394835364,-0.2592592592592593,-0.33333333333333337,-0.19999999999999996,0.13333333333333341,250
9850,-0.2779569550314343,-0.2692307692307693,-0.34707646176911544,-0.20725574712643677,0.13982071464267867,250
9900,-0.2788421876532186,-0.270979020979021,-0.34707646176911544,-0.20833333333333337,0.13874312843578207,250
9950,-0.2799842316114391,-0.270979020979021,-0.3504700352526439,-0.21146616541353383,0.1390038698391101,250
10000,-0.28030423161143914,-0.2727272727272727,-0.3504700352526439,-0.21146616541353383,0.1390038698391101,250
10050,-0.28144523704958024,-0.2727272727272727,-0.35254372019077895,-0.2142857142857143,0.13825800590506465,250
10100,-0.2830164652501038,-0.2727272727272727,-0.35254372019077895,-0.21773097826086954,0.1348127419299094,250
10150,-0.2836126557262943,-0.274294670846395,-0.35254372019077895,-0.21875,0.13379372019077895,250
10200,-0.28439754916192944,-0.27793103448275863,-0.35254372019077895,-0.21875,0.13379372019077895,250
10250,-0.2855330175785148,-0.28,-0.35254372019077895,-0.21961805555555555,0.1329256646352234,250
10300,-0.28584686373236096,-0.28,-0.35254372019077895,-0.21961805555555555,0.1329256646352234,250
10350,-0.2864425626570921,-0.28,-0.35254372019077895,-0.21961805555555555,0.1329256646352234,250
10400,-0.2870573774719069,-0.28285714285714286,-0.35254372019077895,-0.21961805555555555,0.1329256646352234,250
10450,-0.28842867035819986,-0.2857142857142857,-0.35656682027649766,-0.2222222222222222,0.13434459805427545,250
10500,-0.2894644517088095,-0.2857142857142857,-0.35928571428571426,-0.2222222222222222,0.13706349206349205,250
10550,-0.2915276271186859,-0.2857142857142857,-0.36,-0.2222222222222222,0.13777777777777778,250
10600,-0.2930624447291857,-0.2857142857142857,-0.36363636363636365,-0.2222222222222222,0.14141414141414144,250
10650,-0.2942041775932715,-0.2880184331797235,-0.36363636363636365,-0.2222222222222222,0.14141414141414144,250
