timestep,mean_fractional_change,median_fractional_change,lower_bound_p25,upper_bound_p75,mean_cells,median_cells,n_files
11000,-0.41644448890252883,-0.41522988505747127,-0.48359288097886544,-0.34401939655172414,15.144,15.0,250
11050,-0.41684448890252884,-0.41522988505747127,-0.4838709677419355,-0.34401939655172414,15.132,15.0,250
11100,-0.4174669960250359,-0.41522988505747127,-0.4858326068003488,-0.34401939655172414,15.116,15.0,250
11150,-0.41796757573518084,-0.41522988505747127,-0.4966216216216216,-0.34401939655172414,15.104,15.0,250
11200,-0.41832625019911845,-0.41666666666666663,-0.5,-0.34401939655172414,15.096,15.0,250
11250,-0.41939734272977625,-0.42206477732793524,-0.5,-0.34515915119363394,15.068,15.0,250
11300,-0.4197862390152242,-0.42206477732793524,-0.5,-0.34515915119363394,15.056,15.0,250
11350,-0.4201634319976804,-0.42307692307692313,-0.5,-0.34515915119363394,15.048,15.0,250
11400,-0.42084491347916186,-0.42307692307692313,-0.5,-0.34515915119363394,15.032,15.0,250
11450,-0.42172512418840485,-0.42307692307692313,-0.5,-0.34515915119363394,15.008,15.0,250
11500,-0.42277431063414306,-0.42582417582417587,-0.5,-0.34515915119363394,14.984,15.0,250
11550,-0.42310997496980735,-0.42582417582417587,-0.5,-0.34515915119363394,14.976,15.0,250
11600,-0.42375013091522645,-0.4285714285714286,-0.5,-0.34615384615384615,14.96,15.0,250
11650,-0.4241882053533009,-0.4285714285714286,-0.5,-0.34657190635451507,14.948,15.0,250
11700,-0.4249626474973083,-0.4285714285714286,-0.5,-0.3495792426367461,14.928,15.0,250
11750,-0.42566411269877347,-0.4285714285714286,-0.5,-0.3554147465437788,14.912,15.0,250
11800,-0.4260831603178211,-0.4285714285714286,-0.5,-0.3554147465437788,14.9,15.0,250
11850,-0.4270261129973255,-0.4285714285714286,-0.5,-0.3554147465437788,14.876,14.5,250
11900,-0.42763193310314557,-0.4340579710144928,-0.5,-0.3554147465437788,14.86,14.0,250
11950,-0.4280800812512937,-0.4340579710144928,-0.5,-0.3554147465437788,14.848,14.0,250
12000,-0.4283479383941509,-0.4340579710144928,-0.5,-0.3554147465437788,14.84,14.0,250
12050,-0.42925344344077293,-0.4347826086956522,-0.5,-0.3571428571428571,14.816,14.0,250
12100,-0.4301023739220563,-0.4347826086956522,-0.5,-0.3571428571428571,14.796,14.0,250
12150,-0.4305366012528353,-0.4347826086956522,-0.5,-0.3571428571428571,14.784,14.0,250
12200,-0.43117315662594247,-0.4347826086956522,-0.5,-0.3578571428571428,14.768,14.0,250
12250,-0.4315974952502811,-0.4347826086956522,-0.5,-0.3578571428571428,14.756,14.0,250
12300,-0.43240796366686646,-0.4361413043478261,-0.5,-0.3578571428571428,14.736,14.0,250
12350,-0.4331824564204896,-0.4361413043478261,-0.5,-0.3578571428571428,14.716,14.0,250
12400,-0.43347578975382295,-0.4361413043478261,-0.5,-0.36,14.708,14.0,250
12450,-0.43379578975382294,-0.43875,-0.5,-0.36,14.7,14.0,250
12500,-0.4346247874228206,-0.43999999999999995,-0.5,-0.3609090909090909,14.68,14.0,250
12550,-0.4355988519814504,-0.43999999999999995,-0.5,-0.3609090909090909,14.656,14.0,250
12600,-0.44667257443741953,-0.4444444444444444,-0.52,-0.3715277777777778,14.36,14.0,250
12650,-0.4475679020727472,-0.4472222222222222,-0.52,-0.3715277777777778,14.336,14.0,250
12700,-0.44803559438043955,-0.45227272727272727,-0.52,-0.3715277777777778,14.324,14.0,250
12750,-0.44850894898282634,-0.45227272727272727,-0.5228571428571429,-0.3715277777777778,14.312,14.0,250
12800,-0.4486627951366725,-0.45227272727272727,-0.5228571428571429,-0.3715277777777778,14.308,14.0,250
12850,-0.44913364557655516,-0.4545454545454546,-0.5228571428571429,-0.3715277777777778,14.296,14.0,250
12900,-0.45002622050772767,-0.4545454545454546,-0.530952380952381,-0.3715277777777778,14.272,14.0,250
12950,-0.45073654906208843,-0.4545454545454546,-0.530952380952381,-0.3715277777777778,14.252,14.0,250
